"Altitude
[m]","Temperature
[Kelvin]","Pressure
[pascal]"
27958,224.608,1596.45
28058,224.708,1572.36
28158,224.808,1548.64
28258,224.908,1525.29
28358,225.008,1502.3
28458,225.108,1479.67
28558,225.208,1457.39
28658,225.308,1435.45
28758,225.408,1413.86
28858,225.508,1392.59
28958,225.608,1371.66
29058,225.708,1351.05
29158,225.808,1330.76
29258,225.908,1310.78
29358,226.008,1291.11
29458,226.108,1271.75
29558,226.208,1252.68
29658,226.308,1233.91
29758,226.408,1215.43
29858,226.508,1197.23
29958,226.608,1179.31
