Time,Height AGL,Height MSL,Velocity,Acceleration,Mass,Thrust,Drag,Air Density,Air Pressure,Air_Temperature,Speed of Sound,Drag Coefficient,Mach,Cross-sectional Area,Flight State,Weight,Total Force,Events
78.09999999999984,9332.251457565531,10551.451457565532,-79.47977404312928,0.4524522267868936,105.0,0.0,1077.5574838126238,0.43437749291424704,29861.59587584748,239.49036552582402,310.2321963470622,2.0,0.256194472975377,0.1963495408,Main Reefed,-1030.05,47.50748381262383,
78.19999999999983,9324.305738676845,10543.505738676846,-79.43464100437457,0.4502159227858361,105.0,0.0,1077.3226718925127,0.4347764775234765,29895.47006458094,239.5420126986005,310.2656460268984,2.0,0.25602138690368575,0.1963495408,Main Reefed,-1030.05,47.27267189251279,
78.29999999999983,9316.364521983816,10535.564521983817,-79.38972940122497,0.44802334180245407,105.0,0.0,1077.0924508892576,0.4351755161641733,29929.356143891662,239.59363060710518,310.2990731507581,2.0,0.2558490703665546,0.1963495408,Main Reefed,-1030.05,47.04245088925768,
78.39999999999982,9308.427785559781,10527.627785559782,-79.34503491282882,0.4458734589261721,105.0,0.0,1076.866713187248,0.43557460959915684,29963.25417641965,239.6452193938614,310.33247781821126,2.0,0.2556775090724088,0.1963495408,Main Reefed,-1030.05,46.81671318724807,
78.49999999999982,9300.495507905076,10519.695507905077,-79.30055331960786,0.44376527350264905,105.0,0.0,1076.645353717778,0.43597375857268983,29997.164223288553,239.69677919861698,310.36586012698365,2.0,0.2555066890641989,0.1963495408,Main Reefed,-1030.05,46.59535371777815,
78.59999999999981,9292.567667937034,10511.767667937034,-79.25628050086057,0.4416978085558769,105.0,0.0,1076.428269898367,0.4363729638109052,30031.08634414013,239.74831015840925,310.3992201729992,2.0,0.25533659671144643,0.1963495408,Main Reefed,-1030.05,46.37826989836708,
78.6999999999998,9284.64424498021,10503.844244980211,-79.21221243242266,0.43967011022455155,105.0,0.0,1076.2153615735779,0.43677222602222715,30065.02059716831,239.79981240762862,310.4325580504227,2.0,0.25516721870248044,0.1963495408,Main Reefed,-1030.05,46.16536157357791,
78.7999999999998,9276.725218756847,10495.925218756847,-79.16834518438321,0.43768124721215956,105.0,0.0,1076.0065309572767,0.43717154589777935,30098.967039152176,239.85128607808048,310.4658738517007,2.0,0.2549985420368595,0.1963495408,Main Reefed,-1030.05,45.956530957276755,
78.89999999999979,9268.810569377554,10488.010569377555,-79.12467491885513,0.43573031025053494,105.0,0.0,1075.8016825763061,0.4375709241117838,30132.92572548829,239.90273129904588,310.4991676676016,2.0,0.25483055401797533,0.1963495408,Main Reefed,-1030.05,45.751682576306166,
78.99999999999979,9260.900277332225,10480.100277332225,-79.08119788779857,0.4338164115765115,105.0,0.0,1075.6007232155337,0.437970361321953,30166.896710222376,239.95414819734052,310.5324395872552,2.0,0.25466324224583264,0.1963495408,Main Reefed,-1030.05,45.55072321553371,
79.09999999999978,9252.994323481149,10472.19432348115,-79.03791043089606,0.431938684421346,105.0,0.0,1075.4035618642413,0.43836985816987245,30200.880046080252,240.0055368973725,310.5656896981905,2.0,0.254496594610002,0.1963495408,Main Reefed,-1030.05,45.35356186424133,
79.19999999999978,9245.092689046349,10464.29268904635,-78.99480897347813,0.43009628251249654,105.0,0.0,1075.210109663812,0.43876941528137176,30234.87578449793,240.05689752119872,310.5989180863735,2.0,0.25433059928274027,0.1963495408,Main Reefed,-1030.05,45.160109663812136,
79.29999999999977,9237.195355603119,10456.39535560312,-78.95189002449801,0.4282883795875434,105.0,0.0,1075.020279856692,0.4391690332668907,30268.883975651235,240.1082301885797,310.6321248362434,2.0,0.2541652447122758,0.1963495408,Main Reefed,-1030.05,44.97027985669206,
79.39999999999976,9229.302305071757,10448.502305071757,-78.90915017455453,0.426514168919907,105.0,0.0,1074.8339877365902,0.4395687127218354,30302.90466848464,240.15953501703356,310.66531003074834,2.0,0.25400051961625336,0.1963495408,Main Reefed,-1030.05,44.783987736590234,
79.49999999999976,9221.413519709498,10440.613519709499,-78.86658609396167,0.42477286285599497,105.0,0.0,1074.6511505998794,0.43996845422692604,30336.937910739456,240.21081212188824,310.69847375138016,2.0,0.25383641297533516,0.1963495408,Main Reefed,-1030.05,44.601150599879475,
79.59999999999975,9213.528982102644,10432.728982102644,-78.82419453086402,0.42306369236356484,105.0,0.0,1074.4716876981743,0.4403682583485365,30370.983748981373,240.2620616163328,310.73161607820833,2.0,0.25367291402695463,0.1963495408,Main Reefed,-1030.05,44.42168769817431,
79.69999999999975,9205.648675158862,10424.848675158863,-78.78197230939672,0.4213859065910583,105.0,0.0,1074.295520192061,0.4407681256390295,30405.042228627564,240.31328361146737,310.764737089913,2.0,0.2535100122592187,0.1963495408,Main Reefed,-1030.05,44.24552019206112,
79.79999999999974,9197.772582099684,10416.972582099685,-78.73991632788899,0.4197387724373974,105.0,0.0,1074.1225711059267,0.44116805663707814,30439.11339397284,240.36447821635204,310.79783686381757,2.0,0.2533476974049549,0.1963495408,Main Reefed,-1030.05,44.07257110592673,
79.89999999999974,9189.900686453173,10409.100686453174,-78.69802355711016,0.41812157413227224,105.0,0.0,1073.9527652838885,0.4415680518679843,30473.19728821543,240.41564553805435,310.83091547591994,2.0,0.2531859594359008,0.1963495408,Main Reefed,-1030.05,43.902765283888584,
79.99999999999973,9182.032972046763,10401.232972046764,-78.65629103855719,0.41653361282651097,105.0,0.0,1073.7860293467836,0.44196811184399004,30507.293953482254,240.46678568169602,310.8639730009238,2.0,0.2530247885570305,0.1963495408,Main Reefed,-1030.05,43.73602934678365,
80.09999999999972,9174.169423000274,10393.369423000275,-78.61471588278258,0.4149742061922184,105.0,0.0,1073.622291650183,0.44236823706457984,30541.40343085344,240.5178987504982,310.89700951226814,2.0,0.2528641752010175,0.1963495408,Main Reefed,-1030.05,43.57229165018293,
80.19999999999972,9166.310023719083,10385.510023719084,-78.57329526776185,0.41344268803254636,105.0,0.0,1073.4614822434173,0.44276842801677646,30575.52576038636,240.56898484582592,310.9300250821573,2.0,0.25270411002282706,0.1963495408,Main Reefed,-1030.05,43.41148224341737,
80.29999999999971,9158.454758887465,10377.654758887466,-78.53202643729958,0.4119384079008233,105.0,0.0,1073.3035328295864,0.44316868517543123,30609.66098113919,240.62004406723145,310.96301978158897,2.0,0.25254458389443896,0.1963495408,Main Reefed,-1030.05,43.25353282958645,
80.39999999999971,9150.603613462092,10369.803613462092,-78.49090669947302,0.4104607307287465,105.0,0.0,1073.1483767265183,0.4435690090035052,30643.80913119376,240.67107651249637,310.99599368038275,2.0,0.2523855878996943,0.1963495408,Main Reefed,-1030.05,43.09837672651838,
80.4999999999997,9142.756572665674,10361.956572665675,-78.44993342511249,0.40900903646353676,105.0,0.0,1072.9959488286713,0.4439693999523472,30677.97024767812,240.7220822776731,311.0289468472074,2.0,0.2522271133292649,0.1963495408,Main Reefed,-1030.05,42.94594882867136,
80.5999999999997,9134.913621980766,10354.113621980767,-78.40910404631761,0.4075827197136754,105.0,0.0,1072.8461855699359,0.4443698584619626,30712.144366788412,240.773061457125,311.06187934960707,2.0,0.25206915167574245,0.1963495408,Main Reefed,-1030.05,42.796185569935915,
80.69999999999969,9127.074747143706,10346.274747143707,-78.36841605500854,0.4061811894031897,105.0,0.0,1072.6990248873349,0.4447703849612787,30746.331523810382,240.82401414356588,311.0947912540279,2.0,0.25191169462884366,0.1963495408,Main Reefed,-1030.05,42.64902488733492,
80.79999999999968,9119.239934138712,10338.439934138712,-78.32786700151134,0.40480386843403593,105.0,0.0,1072.5544061855737,0.4451709798684,30780.531753140243,240.87494042809834,311.1276826258433,2.0,0.25175473407072896,0.1963495408,Main Reefed,-1030.05,42.50440618557377,
80.89999999999968,9111.409169192102,10330.609169192103,-78.28745449317674,0.40345019335666926,105.0,0.0,1072.4122703024502,0.445571643590863,30814.74508830528,240.92584040025133,311.1605535293788,2.0,0.2515982620714328,0.1963495408,Main Reefed,-1030.05,42.36227030245027,
80.99999999999967,9103.582438766669,10322.78243876667,-78.24717619303146,0.40211961404833607,105.0,0.0,1072.2725594750752,0.44597237652587957,30848.971561983733,240.97671414801664,311.1934040279359,2.0,0.25144227088440213,0.1963495408,Main Reefed,-1030.05,42.222559475075286,
81.09999999999967,9095.759729556172,10314.959729556173,-78.20702981846125,0.40081159339906663,105.0,0.0,1072.135217306902,0.44637317906057916,30883.211206024473,241.02756175788485,311.2262341838165,2.0,0.25128675294213987,0.1963495408,Main Reefed,-1030.05,42.085217306901995,
81.19999999999966,9087.941028479967,10307.141028479968,-78.16701313992502,0.3995256070051082,105.0,0.0,1072.0001887355363,0.44677405157224376,30917.464051466122,241.0783833148802,311.25904405834524,2.0,0.25113170085195236,0.1963495408,Main Reefed,-1030.05,41.95018873553636,
81.29999999999966,9080.126322677765,10299.326322677765,-78.12712397969925,0.39826114286964054,105.0,0.0,1071.8674200013122,0.4471749944285369,30951.73012855572,241.1291789025945,311.29183371189265,2.0,0.2509771073917975,0.1963495408,Main Reefed,-1030.05,41.81742000131226,
81.39999999999965,9072.315599504505,10291.515599504506,-78.08736021065195,0.3970177011105404,105.0,0.0,1071.7368586166067,0.447576007987728,30986.009466766973,241.17994860322068,311.32460320389686,2.0,0.2508229655062306,0.1963495408,Main Reefed,-1030.05,41.68685861660674,
81.49999999999964,9064.508846525367,10283.708846525367,-78.04771975504555,0.3957947936751203,105.0,0.0,1071.6084533358876,0.4479770925989119,31020.302094818155,241.2306924975851,311.35735259288515,2.0,0.25066926830244707,0.1963495408,Main Reefed,-1030.05,41.558453335887634,
81.59999999999964,9056.706051510875,10275.906051510876,-78.00820058336788,0.39459194406160697,105.0,0.0,1071.4821541264687,0.4483782486022229,31054.60804068956,241.2814106651793,311.3900819364949,2.0,0.2505160090464183,0.1963495408,Main Reefed,-1030.05,41.43215412646873,
81.69999999999963,9048.907202432149,10268.10720243215,-77.96880071319079,0.3934086870471566,105.0,0.0,1071.3579121399514,0.4487794763290439,31088.9273316405,241.332103184191,311.4227912914942,2.0,0.2503631811591187,0.1963495408,Main Reefed,-1030.05,41.30791213995144,
81.79999999999963,9041.112287456239,10260.31228745624,-77.92951820805551,0.3922445684223692,105.0,0.0,1071.2356796843487,0.44918077610221124,31123.25999422606,241.38277013153441,311.4554807138018,2.0,0.25021077821284315,0.1963495408,Main Reefed,-1030.05,41.18567968434877,
81.89999999999962,9033.32129494159,10252.52129494159,-77.89035117638443,0.39109914473203516,105.0,0.0,1071.1154101968636,0.4495821482362145,31157.60605431336,241.43341158287964,311.48815025850666,2.0,0.25005879392761027,0.1963495408,Main Reefed,-1030.05,41.065410196863695,
81.99999999999962,9025.534213433604,10244.734213433605,-77.85129777041826,0.3899719830219662,105.0,0.0,1070.9970582173064,0.4499835930373907,31191.96553709741,241.48402761268156,311.5207999798868,2.0,0.249907222167652,0.1963495408,Main Reefed,-1030.05,40.94705821730645,
82.09999999999961,9017.751031660311,10236.951031660312,-77.81235618517843,0.3888626605918987,105.0,0.0,1070.8805793621493,0.4503851108041174,31226.338467116857,241.53461829420797,311.55342993142835,2.0,0.24975605693798528,0.1963495408,Main Reefed,-1030.05,40.830579362149365,
82.1999999999996,9009.971738528144,10229.171738528144,-77.77352465745379,0.38777076475406225,105.0,0.0,1070.7659302991765,0.4507867018269955,31260.72486826891,241.58518369956704,311.58604016584326,2.0,0.2496052923810657,0.1963495408,Main Reefed,-1030.05,40.715930299176534,
82.2999999999996,9002.196323117807,10221.396323117808,-77.73480146481117,0.3866958925976351,105.0,0.0,1070.6530687227516,0.4511883663890353,31295.124763824533,241.63572389973424,311.6186307350874,2.0,0.2494549227735197,0.1963495408,Main Reefed,-1030.05,40.603068722751686,
82.3999999999996,8994.424774680252,10213.624774680253,-77.69618492462925,0.38563765075853207,105.0,0.0,1070.5419533296458,0.4515901047658304,31329.53817644266,241.68623896457834,311.65120169037743,2.0,0.24930494252295451,0.1963495408,Main Reefed,-1030.05,40.49195332964587,
82.49999999999959,8986.65708263274,10205.857082632741,-77.65767339315516,0.38459565519479794,105.0,0.0,1070.4325437954537,0.4519919172257348,31363.965128184613,241.73672896288716,311.68375308220834,2.0,0.2491553461648433,0.1963495408,Main Reefed,-1030.05,40.382543795453785,
82.59999999999958,8978.893236555004,10198.093236555005,-77.61926526458329,0.3835695309671705,105.0,0.0,1070.3248007515529,0.45239380403003177,31398.405640527937,241.78719396239245,311.71628496036936,2.0,0.2490061283594842,0.1963495408,Main Reefed,-1030.05,40.2748007515529,
82.69999999999958,8971.133226185497,10190.333226185498,-77.58095897015576,0.3825589120248077,105.0,0.0,1070.2186857626048,0.452795765433098,31432.859734379843,241.83763402979426,311.7487973739604,2.0,0.24885728388903133,0.1963495408,Main Reefed,-1030.05,40.16868576260481,
82.79999999999957,8963.37704141773,10182.577041417731,-77.54275297728411,0.3815634409961279,105.0,0.0,1070.1141613045934,0.4531978016825689,31467.327430090623,241.88804923078473,311.7812903714076,2.0,0.24870880765459585,0.1963495408,Main Reefed,-1030.05,40.064161304593426,
82.89999999999957,8955.624672296704,10174.824672296705,-77.50464578869158,0.3805827689844591,105.0,0.0,1070.0111907433682,0.45359991301949354,31501.80874746645,241.9384396300714,311.8137640004788,2.0,0.24856069467341593,0.1963495408,Main Reefed,-1030.05,39.961190743368206,
82.99999999999956,8947.876109015413,10167.076109015414,-77.46663594157567,0.37961655536856986,105.0,0.0,1069.9097383136998,0.4540020996784922,31536.303705782157,241.98880529139979,311.84621830829855,2.0,0.2484129400760933,0.1963495408,Main Reefed,-1030.05,39.859738313699836,
83.09999999999955,8940.131341911445,10159.331341911446,-77.42872200679041,0.3786644676078465,105.0,0.0,1069.8097690988238,0.45440436188790595,31570.81232379352,242.03914627757558,311.87865334136256,2.0,0.2482655391038958,0.1963495408,Main Reefed,-1030.05,39.75976909882388,
83.19999999999955,8932.390361463651,10151.590361463652,-77.39090258804775,0.3777261810520074,105.0,0.0,1069.7112490104607,0.45480669986994454,31605.334619749385,242.08946265048624,311.91106914555223,2.0,0.24811848710612303,0.1963495408,Main Reefed,-1030.05,39.66124901046078,
83.29999999999954,8924.653158288904,10143.853158288905,-77.35317632113794,0.37680137875536923,105.0,0.0,1069.6141447693137,0.4552091138408312,31639.870611403447,242.1397544711221,311.94346576614834,2.0,0.24797177953753502,0.1963495408,Main Reefed,-1030.05,39.56414476931377,
83.39999999999954,8916.91972313892,10136.119723138921,-77.31554187316813,0.37588975129539165,105.0,0.0,1069.518423886016,0.45561160401094386,31674.420316025895,242.190021799597,311.97584324784475,2.0,0.2478254119558414,0.1963495408,Main Reefed,-1030.05,39.468423886016126,
83.49999999999953,8909.190046897174,10128.390046897175,-77.27799794181898,0.3749909965954798,105.0,0.0,1069.4240546425253,0.45601417058495153,31708.98375041452,242.24026469516835,312.0082016347619,2.0,0.24767938001925002,0.1963495408,Main Reefed,-1030.05,39.37405464252538,
83.59999999999953,8901.464120575874,10120.664120575875,-77.24054325461874,0.3741048197519744,105.0,0.0,1069.3310060739573,0.4564168137619495,31743.560930905845,242.2904832162568,312.04054097045935,2.0,0.24753367948407398,0.1963495408,Main Reefed,-1030.05,39.281006073957315,
83.69999999999952,8893.741935313012,10112.941935313012,-77.20317656823443,0.3732309328652047,105.0,0.0,1069.2392479508464,0.45681953373559225,31778.151873385945,242.3406774204654,312.07286129794886,2.0,0.24738830620239471,0.1963495408,Main Reefed,-1030.05,39.18924795084649,
83.79999999999951,8886.023482369483,10105.223482369483,-77.16589666777972,0.3723690548744062,105.0,0.0,1069.1487507618126,0.4572223306942184,31812.756593300783,242.39084736459836,312.1051626597065,2.0,0.247243256119781,0.1963495408,Main Reefed,-1030.05,39.09875076181265,
83.89999999999951,8878.308753126279,10097.50875312628,-77.12870236613917,0.3715189113966495,105.0,0.0,1069.0594856966482,0.45762520482098057,31847.37510566675,242.44099310467917,312.1374450976848,2.0,0.24709852527306167,0.1963495408,Main Reefed,-1030.05,39.0094856966482,
83.9999999999995,8870.597739081742,10089.797739081743,-77.09159250330828,0.3706802345693935,105.0,0.0,1068.9714246297863,0.4580281562939641,31882.00742508049,242.49111469596866,312.16970865332445,2.0,0.24695410978815124,0.1963495408,Main Reefed,-1030.05,38.921424629786316,
84.0999999999995,8862.890431848888,10082.090431848888,-77.05456594574923,0.36985276289683067,105.0,0.0,1068.8845401041672,0.45843118528630883,31916.65356572885,242.54121219298221,312.201953367566,2.0,0.24681000587792695,0.1963495408,Main Reefed,-1030.05,38.83454010416722,
84.19999999999949,8855.186823152784,10074.386823152785,-77.0176215857617,0.36903624109975985,105.0,0.0,1068.7988053154747,0.4588342919663254,31951.313541398427,242.5912856495069,312.23417928086076,2.0,0.24666620984015605,0.1963495408,Main Reefed,-1030.05,38.74880531547478,
84.29999999999949,8847.486904828007,10066.686904828008,-76.98075834086859,0.36823041996903416,105.0,0.0,1068.7141940967485,0.4592374764976098,31985.98736548495,242.64133511861792,312.266386433182,2.0,0.24652271805547263,0.1963495408,Main Reefed,-1030.05,38.66419409674859,
84.39999999999948,8839.790668816142,10058.990668816143,-76.94397515321617,0.3674350562223654,105.0,0.0,1068.6306809033483,0.4596407390391542,32020.67505100244,242.69136065269507,312.2985748640357,2.0,0.2463795269854017,0.1963495408,Main Reefed,-1030.05,38.580680903348366,
84.49999999999947,8832.098107163354,10051.298107163355,-76.90727098898846,0.36664991236456923,105.0,0.0,1068.5482407982797,0.4600440797454579,32055.37661059223,242.74136230343817,312.3307446124707,2.0,0.24623663317043082,0.1963495408,Main Reefed,-1030.05,38.49824079827977,
84.59999999999947,8824.409212018012,10043.609212018013,-76.87064483783533,0.3658747565509462,105.0,0.0,1068.4668494378493,0.46044749876663055,32090.092056531543,242.7913401218829,312.36289571708915,2.0,0.24609403322812706,0.1963495408,Main Reefed,-1030.05,38.41684943784935,
84.69999999999946,8816.723975628369,10035.92397562837,-76.83409571231418,0.36510936245403863,105.0,0.0,1068.386483057674,0.4608509962485,32124.821400742258,242.84129415841556,312.3950282160562,2.0,0.2459517238512989,0.1963495408,Main Reefed,-1030.05,38.33648305767406,
